subject,story_id,age,att,rating,condition
24,S16,25,hurried,3,by phrase (agentive)
24,S03,25,hurried,0,by phrase (locative)
24,S13,25,hurried,4,temporal prep
24,S10,25,hurried,3,locative prep
24,S11,25,hurried,1,by phrase (locative)
24,S08,25,hurried,1,by phrase (agentive)
24,S19,25,hurried,3,by phrase (locative)
24,S09,25,hurried,4,temporal prep
24,S14,25,hurried,3,locative prep
25,S08,47,Last,1,locative prep
25,S01,47,Last,1,by phrase (locative)
25,S05,47,Last,2,by phrase (locative)
25,S13,47,Last,4,by phrase (locative)
25,S12,47,Last,2,locative prep
25,S16,47,Last,2,locative prep
25,S14,47,Last,1,by phrase (agentive)
25,S09,47,Last,2,by phrase (locative)
25,S03,47,Last,4,temporal prep
25,S11,47,Last,3,temporal prep
25,S04,47,Last,2,locative prep
25,S15,47,Last,2,temporal prep
25,S02,47,Last,1,by phrase (agentive)
25,S07,47,Last,1,temporal prep
25,S19,47,Last,3,temporal prep
25,S20,47,Last,2,locative prep
25,S18,47,Last,2,by phrase (agentive)
25,S10,47,Last,3,by phrase (agentive)
25,S17,47,Last,2,by phrase (locative)
25,S06,47,Last,1,by phrase (agentive)
26,S20,43,I don't know.,2,locative prep
26,S19,43,I don't know.,2,temporal prep
26,S16,43,I don't know.,2,locative prep
26,S12,43,I don't know.,3,locative prep
26,S07,43,I don't know.,1,temporal prep
26,S03,43,I don't know.,3,temporal prep
26,S01,43,I don't know.,2,by phrase (locative)
26,S11,43,I don't know.,1,temporal prep
26,S17,43,I don't know.,3,by phrase (locative)
26,S04,43,I don't know.,2,locative prep
26,S13,43,I don't know.,1,by phrase (locative)
26,S05,43,I don't know.,2,by phrase (locative)
26,S08,43,I don't know.,1,locative prep
26,S06,43,I don't know.,3,by phrase (agentive)
26,S02,43,I don't know.,2,by phrase (agentive)
26,S14,43,I don't know.,1,by phrase (agentive)
26,S15,43,I don't know.,2,temporal prep
26,S18,43,I don't know.,3,by phrase (agentive)
26,S09,43,I don't know.,1,by phrase (locative)
26,S10,43,I don't know.,2,by phrase (agentive)
27,S08,57,apologize,3,by phrase (agentive)
27,S16,57,apologize,2,by phrase (agentive)
27,S01,57,apologize,3,temporal prep
27,S06,57,apologize,1,locative prep
27,S05,57,apologize,3,temporal prep
27,S18,57,apologize,4,locative prep
27,S17,57,apologize,4,temporal prep
27,S09,57,apologize,3,temporal prep
27,S04,57,apologize,1,by phrase (agentive)
27,S15,57,apologize,2,by phrase (locative)
27,S11,57,apologize,1,by phrase (locative)
27,S02,57,apologize,2,locative prep
27,S13,57,apologize,4,temporal prep
27,S07,57,apologize,1,by phrase (locative)
27,S10,57,apologize,2,locative prep
27,S19,57,apologize,4,by phrase (locative)
27,S20,57,apologize,4,by phrase (agentive)
27,S12,57,apologize,1,by phrase (agentive)
27,S14,57,apologize,3,locative prep
27,S03,57,apologize,1,by phrase (locative)
28,S15,25,Later,4,by phrase (locative)
28,S01,25,Later,2,temporal prep
28,S12,25,Later,1,by phrase (agentive)
28,S17,25,Later,1,temporal prep
28,S16,25,Later,3,by phrase (agentive)
28,S09,25,Later,1,temporal prep
28,S11,25,Later,1,by phrase (locative)
28,S06,25,Later,1,locative prep
28,S07,25,Later,1,by phrase (locative)
28,S18,25,Later,3,locative prep
28,S05,25,Later,1,temporal prep
28,S03,25,Later,1,by phrase (locative)
28,S08,25,Later,1,by phrase (agentive)
28,S20,25,Later,1,by phrase (agentive)
28,S19,25,Later,4,by phrase (locative)
28,S02,25,Later,3,locative prep
28,S14,25,Later,1,locative prep
28,S13,25,Later,2,temporal prep
28,S10,25,Later,3,locative prep
28,S04,25,Later,1,by phrase (agentive)
29,S05,35,Apologized,4,temporal prep
29,S09,35,Apologized,4,temporal prep
29,S07,35,Apologized,1,by phrase (locative)
29,S03,35,Apologized,1,by phrase (locative)
29,S17,35,Apologized,2,temporal prep
29,S11,35,Apologized,1,by phrase (locative)
29,S20,35,Apologized,4,by phrase (agentive)
29,S19,35,Apologized,4,by phrase (locative)
29,S08,35,Apologized,4,by phrase (agentive)
29,S10,35,Apologized,4,locative prep
29,S04,35,Apologized,4,by phrase (agentive)
29,S02,35,Apologized,4,locative prep
29,S15,35,Apologized,1,by phrase (locative)
29,S12,35,Apologized,4,by phrase (agentive)
29,S18,35,Apologized,4,locative prep
29,S01,35,Apologized,4,temporal prep
29,S13,35,Apologized,4,temporal prep
29,S16,35,Apologized,4,by phrase (agentive)
29,S06,35,Apologized,4,locative prep
29,S14,35,Apologized,1,locative prep
30,S12,43,apologize,2,by phrase (locative)
30,S03,43,apologize,3,locative prep
30,S17,43,apologize,1,by phrase (agentive)
30,S05,43,apologize,2,by phrase (agentive)
30,S07,43,apologize,3,locative prep
30,S16,43,apologize,3,by phrase (locative)
30,S09,43,apologize,2,by phrase (agentive)
30,S20,43,apologize,4,by phrase (locative)
30,S11,43,apologize,2,locative prep
30,S14,43,apologize,1,temporal prep
30,S04,43,apologize,1,by phrase (locative)
30,S13,43,apologize,4,by phrase (agentive)
30,S02,43,apologize,1,temporal prep
30,S10,43,apologize,3,temporal prep
30,S19,43,apologize,3,locative prep
30,S15,43,apologize,3,locative prep
30,S06,43,apologize,1,temporal prep
30,S08,43,apologize,1,by phrase (locative)
30,S01,43,apologize,3,by phrase (agentive)
30,S18,43,apologize,2,temporal prep
31,S06,46,I don't know,0,by phrase (locative)
31,S08,46,I don't know,3,temporal prep
31,S19,46,I don't know,4,by phrase (agentive)
31,S03,46,I don't know,2,by phrase (agentive)
31,S14,46,I don't know,0,by phrase (locative)
31,S17,46,I don't know,4,locative prep
31,S07,46,I don't know,3,by phrase (agentive)
31,S15,46,I don't know,2,by phrase (agentive)
31,S11,46,I don't know,4,by phrase (agentive)
31,S10,46,I don't know,0,by phrase (locative)
31,S20,46,I don't know,3,temporal prep
31,S16,46,I don't know,4,temporal prep
31,S01,46,I don't know,4,locative prep
31,S09,46,I don't know,4,locative prep
31,S13,46,I don't know,3,locative prep
31,S18,46,I don't know,0,by phrase (locative)
31,S04,46,I don't know,3,temporal prep
31,S12,46,I don't know,2,temporal prep
31,S05,46,I don't know,1,locative prep
31,S02,46,I don't know,0,by phrase (locative)
32,S05,29,found,2,locative prep
32,S13,29,found,4,locative prep
32,S20,29,found,1,temporal prep
32,S12,29,found,2,temporal prep
32,S19,29,found,1,by phrase (agentive)
32,S07,29,found,4,by phrase (agentive)
32,S09,29,found,4,locative prep
32,S04,29,found,2,temporal prep
32,S15,29,found,3,by phrase (agentive)
32,S06,29,found,1,by phrase (locative)
32,S18,29,found,1,by phrase (locative)
32,S03,29,found,4,by phrase (agentive)
32,S02,29,found,1,by phrase (locative)
32,S16,29,found,1,temporal prep
32,S17,29,found,1,locative prep
32,S08,29,found,1,temporal prep
32,S01,29,found,4,locative prep
32,S11,29,found,4,by phrase (agentive)
32,S14,29,found,1,by phrase (locative)
32,S10,29,found,3,by phrase (locative)
33,S08,34,i dont know,2,by phrase (locative)
33,S07,34,i dont know,1,locative prep
33,S11,34,i dont know,2,locative prep
33,S09,34,i dont know,2,by phrase (agentive)
33,S18,34,i dont know,2,temporal prep
33,S10,34,i dont know,2,temporal prep
33,S20,34,i dont know,2,by phrase (locative)
33,S12,34,i dont know,2,by phrase (locative)
33,S17,34,i dont know,2,by phrase (agentive)
33,S13,34,i dont know,2,by phrase (agentive)
33,S03,34,i dont know,2,locative prep
33,S01,34,i dont know,2,by phrase (agentive)
33,S19,34,i dont know,2,locative prep
33,S15,34,i dont know,2,locative prep
33,S02,34,i dont know,2,temporal prep
33,S04,34,i dont know,2,by phrase (locative)
33,S16,34,i dont know,2,by phrase (locative)
33,S05,34,i dont know,2,by phrase (agentive)
33,S14,34,i dont know,2,temporal prep
33,S06,34,i dont know,2,temporal prep
34,S06,43,more,4,by phrase (agentive)
34,S17,43,more,1,by phrase (locative)
34,S07,43,more,1,temporal prep
34,S16,43,more,1,locative prep
34,S15,43,more,4,temporal prep
34,S05,43,more,3,by phrase (locative)
34,S10,43,more,4,by phrase (agentive)
34,S02,43,more,4,by phrase (agentive)
34,S11,43,more,1,temporal prep
34,S08,43,more,1,locative prep
34,S04,43,more,4,locative prep
34,S14,43,more,4,by phrase (agentive)
34,S01,43,more,0,by phrase (locative)
34,S09,43,more,0,by phrase (locative)
34,S13,43,more,2,by phrase (locative)
34,S03,43,more,4,temporal prep
34,S12,43,more,4,locative prep
34,S19,43,more,2,temporal prep
34,S20,43,more,1,locative prep
34,S18,43,more,4,by phrase (agentive)
35,S10,41,heard,3,temporal prep
35,S01,41,heard,3,by phrase (agentive)
